GEMMID,m,n,k,lda,stride_a,ldb,stride_b,ldc,stride_c,batch_count
152,1,16,8192,8192,8192,8192,131072,16,16,1
153,512,256,512,512,262144,512,131072,256,131072,1
154,512,4096,4096,4096,2097152,4096,16777216,4096,2097152,1
155,16,512,8192,8192,131072,8192,4194304,512,8192,1
156,64,128,16,16,1024,16,2048,128,8192,1
157,512,1,4096,4096,2097152,4096,4096,1,512,1
158,2048,8192,128,128,262144,128,1048576,8192,16777216,1
159,256,512,32,32,8192,32,16384,512,131072,1
160,8192,256,8192,8192,67108864,8192,2097152,256,2097152,1
161,256,8192,32,32,8192,32,262144,8192,2097152,1
162,128,2048,256,256,32768,256,524288,2048,262144,1
163,512,128,4096,4096,2097152,4096,524288,128,65536,1
164,32,64,1024,1024,32768,1024,65536,64,2048,1
165,8192,512,64,64,524288,64,32768,512,4194304,1
166,4096,4096,256,256,1048576,256,1048576,4096,16777216,1
167,128,128,128,128,16384,128,16384,128,16384,1
168,512,4096,8192,8192,4194304,8192,33554432,4096,2097152,1
169,8192,256,2048,2048,16777216,2048,524288,256,2097152,1
170,1024,1024,128,128,131072,128,131072,1024,1048576,1
171,2048,1024,64,64,131072,64,65536,1024,2097152,1
172,8192,16,256,256,2097152,256,4096,16,131072,1
173,2048,8192,8192,8192,16777216,8192,67108864,8192,16777216,1
174,256,16,128,128,32768,128,2048,16,4096,1
175,8192,128,128,128,1048576,128,16384,128,1048576,1
176,64,32,16,16,1024,16,512,32,2048,1
177,1,64,2048,2048,2048,2048,131072,64,64,1
178,4096,16,2048,2048,8388608,2048,32768,16,65536,1
179,64,512,2048,2048,131072,2048,1048576,512,32768,1
180,512,64,64,64,32768,64,4096,64,32768,1
181,8192,1,32,32,262144,32,32,1,8192,1
182,2048,1024,16,16,32768,16,16384,1024,2097152,1
183,2048,64,32,32,65536,32,2048,64,131072,1
184,1024,32,2048,2048,2097152,2048,65536,32,32768,1
185,8192,2048,4096,4096,33554432,4096,8388608,2048,16777216,1
186,4096,256,2048,2048,8388608,2048,524288,256,1048576,1
187,4096,2048,1024,1024,4194304,1024,2097152,2048,8388608,1
188,1024,1024,256,256,262144,256,262144,1024,1048576,1
189,2048,1024,128,128,262144,128,131072,1024,2097152,1
190,128,1024,32,32,4096,32,32768,1024,131072,1
191,128,64,256,256,32768,256,16384,64,8192,1
192,256,256,4096,4096,1048576,4096,1048576,256,65536,1
193,64,512,64,64,4096,64,32768,512,32768,1
194,64,16,1024,1024,65536,1024,16384,16,1024,1
195,512,256,4096,4096,2097152,4096,1048576,256,131072,1
196,1024,512,16,16,16384,16,8192,512,524288,1
197,64,512,1024,1024,65536,1024,524288,512,32768,1
198,4096,1,8192,8192,33554432,8192,8192,1,4096,1
199,512,1024,16,16,8192,16,16384,1024,524288,1
