GEMMID,KernelID,EFF,us
8,73,0.611361,0.58
8,70,0.918634,0.39
8,66,0.209922,1.69
8,15,0.498033,0.71
8,92,0.2285,1.56
8,72,0.290525,1.22
8,68,0.936643,0.38
8,54,0.727276,0.49
8,96,0.763371,0.47
8,83,0.830852,0.43
8,78,0.523134,0.68
8,76,0.889229,0.4
8,59,0.261564,1.36
8,14,0.738867,0.48
8,16,0.907596,0.39
8,37,0.512717,0.69
8,20,0.922249,0.39
8,46,0.810913,0.44
8,0,0.593578,0.6
8,7,0.287021,1.24
8,27,0.508182,0.7
8,75,0.698116,0.51
8,44,0.291902,1.22
8,5,0.270182,1.32
8,74,0.589567,0.6
8,61,0.606022,0.59
8,9,0.716133,0.5
8,28,0.504447,0.7
8,71,0.332646,1.07
8,49,0.833148,0.43
8,67,0.69353,0.51
8,63,0.37543,0.95
9,4,0.640979,0.06
9,45,0.768693,0.05
9,57,0.812493,0.04
9,13,0.130709,0.28
9,78,0.742305,0.05
9,86,0.826746,0.04
9,71,0.683106,0.05
9,28,0.568967,0.06
9,82,0.215076,0.17
9,93,0.886209,0.04
9,49,0.423343,0.09
9,30,0.359554,0.1
9,65,0.533162,0.07
9,36,0.815009,0.04
9,85,0.932673,0.04
9,6,0.289571,0.13
9,48,0.648689,0.06
9,89,1.0,0.04
9,53,0.374899,0.1
9,40,0.807896,0.05
9,70,0.400617,0.09
9,84,0.350851,0.1
9,1,0.352517,0.1
9,32,0.713161,0.05
9,25,0.493633,0.07
9,56,0.735953,0.05
9,92,0.82802,0.04
9,47,0.518709,0.07
9,69,0.242052,0.15
9,75,0.267522,0.14
9,24,0.758474,0.05
9,37,0.575556,0.06
9,97,0.52839,0.07
9,22,0.36779,0.1
9,9,0.47886,0.08
9,23,0.986408,0.04
9,66,0.746955,0.05
9,72,0.870207,0.04
9,76,0.913612,0.04
9,7,0.837549,0.04
9,90,0.377603,0.1
9,2,0.971697,0.04
9,27,0.659278,0.06
9,17,0.693724,0.05
9,35,0.805732,0.05
9,16,0.724666,0.05
9,8,0.913388,0.04
9,10,0.671449,0.05
9,68,0.623496,0.06
9,54,0.238708,0.15
9,0,0.839069,0.04
9,21,0.523576,0.07
9,29,0.437505,0.08
9,98,0.839874,0.04
9,87,0.495198,0.07
9,58,0.669265,0.05
9,46,0.665718,0.05
9,20,0.587204,0.06
9,38,0.796479,0.05
9,3,0.518864,0.07
9,39,0.574809,0.06
9,19,0.312934,0.12
9,31,0.601092,0.06
9,94,0.241921,0.15
9,55,0.790929,0.05
9,63,0.653831,0.06
9,99,0.358656,0.1
9,42,0.334294,0.11
9,14,0.572664,0.06
9,88,0.544619,0.07
9,5,0.457304,0.08
9,50,0.712717,0.05
9,44,0.478964,0.08
9,79,0.813711,0.04
9,73,0.779471,0.05
9,62,0.433096,0.08
9,96,0.773041,0.05
9,74,0.86551,0.04
9,34,0.945695,0.04
9,12,0.453557,0.08
9,67,0.748193,0.05
9,11,0.40816,0.09
9,60,0.688378,0.05
9,95,0.732784,0.05
9,52,0.508784,0.07
9,59,0.623812,0.06
9,51,0.548199,0.07
9,33,0.786529,0.05
9,80,0.707308,0.05
10,75,0.106289,0.34
10,3,0.587778,0.06
10,61,0.196606,0.19
10,14,0.752142,0.05
10,33,0.599751,0.06
10,8,0.419741,0.09
10,48,0.529758,0.07
10,81,0.567691,0.06
10,28,0.812047,0.04
10,86,1.0,0.04
10,89,0.333265,0.11
10,29,0.685519,0.05
10,40,0.517047,0.07
10,52,0.793966,0.05
10,45,0.464219,0.08
10,66,0.633685,0.06
10,68,0.576022,0.06
10,1,0.356583,0.1
10,95,0.361661,0.1
10,31,0.74924,0.05
10,36,0.450797,0.08
10,11,0.36541,0.1
10,51,0.820467,0.04
10,43,0.556789,0.07
10,9,0.779208,0.05
10,70,0.290736,0.13
10,22,0.71422,0.05
10,60,0.415067,0.09
10,87,0.483979,0.08
10,85,0.548221,0.07
10,27,0.586219,0.06
10,34,0.76136,0.05
10,23,0.642579,0.06
10,24,0.406374,0.09
10,63,0.257186,0.14
10,25,0.542132,0.07
10,30,0.689565,0.05
10,47,0.777161,0.05
10,15,0.826023,0.04
10,55,0.472003,0.08
10,16,0.620542,0.06
10,13,0.835936,0.04
10,96,0.40841,0.09
10,12,0.822703,0.04
10,53,0.330256,0.11
10,97,0.759329,0.05
10,72,0.807006,0.05
10,39,0.838666,0.04
10,73,0.699781,0.05
10,99,0.690048,0.05
10,49,0.55621,0.07
10,6,0.285152,0.13
10,7,0.518619,0.07
10,5,0.332592,0.11
10,76,0.800627,0.05
10,42,0.875942,0.04
10,80,0.378904,0.1
10,90,0.555424,0.07
10,0,0.489415,0.07
10,83,0.974382,0.04
10,2,0.963055,0.04
10,65,0.648845,0.06
10,67,0.654187,0.06
10,20,0.847438,0.04
10,74,0.570475,0.06
10,17,0.610122,0.06
10,35,0.601365,0.06
10,78,0.230424,0.16
10,71,0.477209,0.08
10,56,0.787996,0.05
10,62,0.741635,0.05
10,84,0.305919,0.12
10,18,0.938909,0.04
10,4,0.85981,0.04
10,82,0.264852,0.14
10,59,0.522684,0.07
10,58,0.331381,0.11
10,54,0.686057,0.05
11,80,0.584432,0.03
11,22,0.567665,0.03
11,71,0.250184,0.06
11,95,0.649899,0.02
11,97,0.514725,0.03
11,53,0.641306,0.02
11,13,0.792325,0.02
11,81,0.567786,0.03
11,73,0.43909,0.04
11,45,0.65575,0.02
11,86,0.618799,0.03
11,58,0.382217,0.04
11,85,0.454752,0.03
11,54,0.622756,0.03
11,93,0.77079,0.02
11,21,0.707055,0.02
11,23,0.505675,0.03
11,70,0.54137,0.03
11,51,0.758293,0.02
11,64,0.689203,0.02
11,43,0.527213,0.03
11,20,0.680211,0.02
11,68,0.400267,0.04
11,76,0.2607,0.06
11,56,0.857357,0.02
11,90,0.945153,0.02
11,40,0.673823,0.02
11,82,0.662091,0.02
11,41,0.414164,0.04
11,47,0.576504,0.03
11,52,0.736607,0.02
11,55,0.492353,0.03
11,96,0.867441,0.02
11,30,0.832012,0.02
11,27,0.695647,0.02
11,48,0.214498,0.07
11,32,0.340171,0.05
11,83,0.882111,0.02
11,61,0.186215,0.09
11,28,0.891856,0.02
11,60,0.415793,0.04
11,25,0.454454,0.03
11,0,0.367825,0.04
11,46,0.386592,0.04
11,2,0.811775,0.02
11,18,0.518908,0.03
11,38,0.851245,0.02
11,1,0.882217,0.02
11,33,0.590039,0.03
11,8,0.876598,0.02
11,19,0.668613,0.02
11,57,0.617111,0.03
11,49,0.550835,0.03
11,14,0.946215,0.02
11,87,0.842857,0.02
11,78,0.283588,0.06
11,69,0.861186,0.02
11,17,0.363114,0.04
11,35,0.792546,0.02
11,63,0.805259,0.02
11,67,1.0,0.02
11,36,0.175879,0.09
11,94,0.800658,0.02
11,9,0.509525,0.03
11,6,0.817482,0.02
11,77,0.728555,0.02
11,29,0.6086,0.03
11,98,0.636946,0.02
11,37,0.37075,0.04
11,4,0.678084,0.02
11,50,0.592763,0.03
11,11,0.707902,0.02
11,89,0.631498,0.03
11,7,0.526958,0.03
11,26,0.64009,0.02
11,92,0.721343,0.02
11,31,0.219332,0.07
11,34,0.506051,0.03
11,65,0.714658,0.02
11,12,0.915661,0.02
11,84,0.851058,0.02
11,39,0.745799,0.02
11,91,0.81447,0.02
11,10,0.376918,0.04
11,15,0.269868,0.06
11,42,0.586006,0.03
11,88,0.961922,0.02
11,59,0.759327,0.02
11,44,0.273671,0.06
11,62,0.863863,0.02
11,79,0.685146,0.02
11,66,0.448902,0.04
12,19,0.669454,0.0
12,24,0.381827,0.0
12,43,0.481973,0.0
12,61,0.75325,0.0
12,93,0.714873,0.0
12,67,0.950823,0.0
12,39,0.749776,0.0
12,41,0.875487,0.0
12,18,0.668469,0.0
12,12,0.669752,0.0
12,66,0.691831,0.0
12,86,0.587345,0.0
12,16,0.853015,0.0
12,26,0.298842,0.0
12,4,0.617754,0.0
12,58,0.781406,0.0
12,49,0.805299,0.0
12,89,0.466066,0.0
12,14,0.477865,0.0
12,0,0.561829,0.0
12,95,0.470172,0.0
12,5,0.127743,0.01
12,76,0.538841,0.0
12,11,0.529035,0.0
12,42,0.661942,0.0
12,59,0.888755,0.0
12,78,0.518026,0.0
12,13,0.527641,0.0
12,82,0.408342,0.0
12,79,0.480046,0.0
12,2,0.582789,0.0
12,70,0.707587,0.0
12,88,0.248363,0.01
12,92,0.665909,0.0
12,25,0.921649,0.0
12,98,0.949213,0.0
12,36,0.728715,0.0
12,17,0.809733,0.0
12,34,0.930858,0.0
12,20,0.359285,0.0
12,83,0.610107,0.0
12,28,0.328163,0.0
12,75,0.722817,0.0
12,7,0.864353,0.0
12,62,0.639843,0.0
12,9,0.553715,0.0
12,10,0.550937,0.0
12,55,0.776563,0.0
12,56,0.488867,0.0
12,80,0.879826,0.0
12,68,0.42394,0.0
12,35,0.674614,0.0
12,32,0.737048,0.0
12,6,0.889937,0.0
12,72,0.771884,0.0
12,96,0.553363,0.0
12,22,0.64089,0.0
12,48,0.892187,0.0
12,60,0.401193,0.0
12,52,0.262682,0.01
12,54,0.565452,0.0
12,91,0.689075,0.0
12,63,0.423857,0.0
12,15,0.799239,0.0
12,53,0.485887,0.0
12,85,0.362458,0.0
12,99,1.0,0.0
12,21,0.725186,0.0
12,84,0.601758,0.0
12,1,0.878908,0.0
12,44,0.780863,0.0
12,50,0.623135,0.0
12,37,0.549294,0.0
12,47,0.906366,0.0
12,30,0.853639,0.0
12,3,0.142528,0.01
12,90,0.543856,0.0
12,65,0.197233,0.01
12,69,0.78915,0.0
12,45,0.53584,0.0
12,23,0.206547,0.01
12,73,0.660916,0.0
12,81,0.236093,0.01
12,77,0.859881,0.0
13,21,0.615238,0.04
13,89,0.880398,0.03
13,47,0.557185,0.05
13,70,0.56742,0.04
13,99,0.385308,0.07
13,56,0.578347,0.04
13,31,0.427593,0.06
13,74,0.780463,0.03
13,5,0.918256,0.03
13,17,0.656388,0.04
13,12,0.904736,0.03
13,80,0.559776,0.05
13,78,0.362675,0.07
13,48,0.771451,0.03
13,20,0.484368,0.05
13,2,0.430684,0.06
13,62,0.562892,0.05
13,10,0.901223,0.03
13,0,0.694437,0.04
13,81,0.732128,0.03
13,22,0.769657,0.03
13,11,0.380974,0.07
13,75,0.348193,0.07
13,36,0.222708,0.11
13,53,0.318381,0.08
13,60,0.798394,0.03
13,16,0.634052,0.04
13,26,0.561842,0.05
13,18,0.647774,0.04
13,34,0.643708,0.04
13,66,0.530311,0.05
13,57,0.695601,0.04
13,52,0.911814,0.03
13,30,0.794586,0.03
13,79,0.636311,0.04
13,4,0.4371,0.06
13,23,0.570544,0.04
13,45,0.631123,0.04
13,93,0.862272,0.03
13,39,0.867799,0.03
13,91,0.723728,0.04
13,40,0.699192,0.04
13,67,0.599526,0.04
13,50,0.46247,0.05
13,19,0.60782,0.04
13,65,0.432153,0.06
13,72,1.0,0.03
13,88,0.812509,0.03
13,35,0.310824,0.08
13,15,0.695055,0.04
13,98,0.90256,0.03
13,7,0.967989,0.03
13,33,0.866544,0.03
13,6,0.39494,0.06
13,92,0.497626,0.05
13,63,0.818098,0.03
13,96,0.385414,0.07
13,32,0.813331,0.03
13,14,0.367115,0.07
13,29,0.326907,0.08
13,13,0.41881,0.06
13,90,0.855073,0.03
13,3,0.618085,0.04
13,49,0.762037,0.03
13,86,0.842902,0.03
13,9,0.380228,0.07
13,69,0.845222,0.03
13,61,0.749051,0.03
13,87,0.552317,0.05
13,59,0.811805,0.03
13,95,0.409121,0.06
13,1,0.406662,0.06
13,28,0.984547,0.03
14,99,0.344596,8.56
14,62,0.55287,5.34
14,52,0.361605,8.16
14,43,0.395138,7.47
14,20,0.483996,6.1
14,13,0.843417,3.5
14,27,0.739344,3.99
14,19,0.449701,6.56
14,64,0.599827,4.92
14,28,0.8179,3.61
14,24,0.410431,7.19
14,71,0.612423,4.82
14,78,1.0,2.95
14,67,0.676197,4.36
14,68,0.281721,10.47
14,70,0.875672,3.37
14,14,0.628493,4.69
14,53,0.43924,6.72
14,58,0.638225,4.62
14,9,0.695292,4.24
14,83,0.885623,3.33
14,16,0.980473,3.01
14,2,0.761451,3.87
14,61,0.720536,4.1
14,44,0.59869,4.93
14,39,0.608144,4.85
14,46,0.755473,3.91
14,17,0.782709,3.77
14,56,0.889108,3.32
14,66,0.355787,8.29
14,96,0.585751,5.04
14,22,0.914424,3.23
14,38,0.547162,5.39
14,3,0.454902,6.49
14,15,0.50142,5.88
14,90,0.704619,4.19
14,87,0.725423,4.07
14,54,0.408559,7.22
14,75,0.362101,8.15
14,80,0.673799,4.38
14,76,0.716967,4.12
14,79,0.877922,3.36
14,92,0.698332,4.23
14,8,0.785864,3.75
14,94,0.605967,4.87
14,88,0.572388,5.15
14,5,0.661003,4.46
14,93,0.680862,4.33
14,59,0.334616,8.82
14,48,0.727603,4.06
14,7,0.592077,4.98
14,4,0.833001,3.54
14,1,0.605424,4.87
14,30,0.96123,3.07
14,97,0.438132,6.73
14,77,0.53895,5.47
14,12,0.790691,3.73
14,6,0.597253,4.94
14,51,0.756387,3.9
14,32,0.757767,3.89
14,37,0.359204,8.21
14,84,0.540675,5.46
14,73,0.406704,7.25
14,49,0.150616,19.59
14,63,0.479727,6.15
14,41,0.509412,5.79
14,50,0.552535,5.34
15,42,0.524282,0.04
15,74,0.129763,0.15
15,94,0.377194,0.05
15,49,0.63834,0.03
15,95,0.582652,0.03
15,30,0.674334,0.03
15,54,0.709881,0.03
15,27,0.283926,0.07
15,18,0.821023,0.02
15,13,0.642676,0.03
15,22,0.313877,0.06
15,92,0.850927,0.02
15,35,0.966542,0.02
15,56,0.497228,0.04
15,52,0.252467,0.08
15,32,0.589258,0.03
15,75,0.911628,0.02
15,7,0.3604,0.05
15,62,0.583277,0.03
15,68,0.592255,0.03
15,47,0.818476,0.02
15,14,0.60025,0.03
15,40,0.880008,0.02
15,69,0.666413,0.03
15,93,0.624567,0.03
15,60,0.806249,0.02
15,31,1.0,0.02
15,87,0.885892,0.02
15,91,0.656103,0.03
15,46,0.666582,0.03
15,98,0.963676,0.02
15,79,0.184015,0.11
15,39,0.19197,0.1
15,2,0.905683,0.02
15,4,0.457947,0.04
15,6,0.665379,0.03
15,97,0.420016,0.05
15,16,0.781203,0.02
15,72,0.233708,0.08
15,24,0.467175,0.04
15,19,0.397953,0.05
15,77,0.885144,0.02
15,44,0.589868,0.03
15,23,0.718003,0.03
15,51,0.689942,0.03
15,43,0.71146,0.03
15,82,0.499016,0.04
15,34,0.735145,0.03
15,15,0.745191,0.03
15,28,0.365019,0.05
15,76,0.785604,0.02
15,0,0.849992,0.02
15,25,0.335305,0.06
15,81,0.846183,0.02
15,59,0.66837,0.03
15,5,0.529107,0.04
15,55,0.576252,0.03
15,45,0.739798,0.03
15,90,0.921664,0.02
15,10,0.339946,0.06
16,92,0.445645,0.0
16,62,0.460707,0.0
16,38,0.485307,0.0
16,79,0.80721,0.0
16,78,0.70898,0.0
16,46,0.251381,0.01
16,88,0.580033,0.0
16,86,0.441408,0.0
16,93,0.940782,0.0
16,99,0.467378,0.0
16,50,0.385226,0.0
16,97,0.931794,0.0
16,11,0.607054,0.0
16,16,0.714757,0.0
16,17,0.631026,0.0
16,1,0.557823,0.0
16,24,0.804608,0.0
16,14,0.14848,0.01
16,2,0.31132,0.01
16,83,0.512632,0.0
16,3,0.280242,0.01
16,26,0.445821,0.0
16,61,0.71325,0.0
16,18,0.789049,0.0
16,30,0.366459,0.0
16,55,0.45396,0.0
16,68,0.789301,0.0
16,80,0.335219,0.01
16,87,0.700732,0.0
16,91,0.600459,0.0
16,59,0.411053,0.0
16,76,0.627028,0.0
16,60,0.92957,0.0
16,54,0.675809,0.0
16,81,0.83269,0.0
16,82,0.491538,0.0
16,21,0.603638,0.0
16,57,0.822916,0.0
16,9,0.649959,0.0
16,47,0.826086,0.0
16,44,0.47984,0.0
16,28,0.852604,0.0
16,31,0.746343,0.0
16,75,0.388024,0.0
16,84,0.697272,0.0
16,58,0.642059,0.0
16,37,0.501548,0.0
16,15,0.228963,0.01
16,12,0.688926,0.0
16,73,0.782557,0.0
16,36,0.92605,0.0
16,25,0.841538,0.0
16,96,0.929121,0.0
16,63,0.623105,0.0
16,0,0.924939,0.0
16,6,0.577981,0.0
16,40,0.729239,0.0
16,27,0.435899,0.0
16,95,0.429118,0.0
16,98,0.437506,0.0
16,53,0.722101,0.0
16,70,0.521229,0.0
16,35,0.246563,0.01
16,89,0.455557,0.0
16,65,0.702145,0.0
16,43,0.281498,0.01
16,48,0.853044,0.0
16,34,0.570919,0.0
16,32,0.567486,0.0
16,7,0.654472,0.0
16,22,0.74812,0.0
16,74,0.950462,0.0
16,90,0.875747,0.0
16,45,0.645191,0.0
16,13,0.765007,0.0
16,49,0.869144,0.0
16,10,0.930542,0.0
16,85,0.395401,0.0
16,39,0.781749,0.0
16,8,0.569598,0.0
16,33,0.327425,0.01
16,52,0.549655,0.0
16,67,0.834257,0.0
16,72,0.78208,0.0
16,71,0.64624,0.0
16,56,0.267895,0.01
16,42,0.835819,0.0
16,69,0.420609,0.0
16,41,0.970585,0.0
16,94,0.614954,0.0
16,4,0.975504,0.0
16,29,1.0,0.0
16,64,0.790949,0.0
16,23,0.296097,0.01
16,20,0.611052,0.0
16,66,0.190038,0.01
16,77,0.657543,0.0
17,0,0.979734,63.41
17,54,0.655499,94.78
17,82,0.810014,76.7
17,86,0.888675,69.91
17,83,0.51567,120.48
